WATERBODY_CODE,Waterbody_LID,LOCNAME,TWS_code,neglondec,latdec,SA,LO
46578130,17-4620-52125,Onaping Lake,02CF,-81.52083333,47.13888889,5361.03,6
46578205,17-4175-51987,Mozhabong Lake,02CE,-82.08333333,46.93861111,1520.4,5
46587952,17-5852-52035,Driftwood Lake,02DC,-79.87944444,46.98194444,57.5,3
46597938,17-6031-52053,Rabbit Lake,02JE,-79.64722222,46.98972222,2106,5
46598331,17-3086-52062,Saymo Lake,02CA,-83.51666667,46.98333333,778.91,4
46598347,17-2880-52069,Ward Lake,02BF,-83.78722222,46.98388889,50.2,2
47008005,17-5700-52061,Lake Temagami,02DC,-80.07916667,47.00638889,22653.7,6
47008105,17-4925-52070,Helen Lake,02CF,-81.09777778,47.01888889,342,4
47018436,16-6811-52113,Mamainse Lake,02BF,-84.61833333,47.03055556,143.7,2
47047943,17-5970-52137,Cassels Lake,02JE,-79.72222222,47.07166667,757.1,5
47048122,17-4713-52126,Scotia Lake,02DA,-81.37805556,47.06861111,827.2,4
47048332,17-3094-52159,Anvil Lake,02CB,-83.51027778,47.07083333,92.8,2
47048418,16-7046-52151,Adelaide Lake,02BF,-84.30527778,47.06,137.3,3
47058002,17-5733-52151,Kokoko Lake,02DC,-80.03416667,47.08694444,493.7,4
47058137,17-4529-52150,Lower Muldrew Lake,02CF,-81.61972222,47.08916667,116.5,5
47058332,17-3074-52158,Gong Lake,02CB,-83.53611111,47.07,384.5,4
47058424,16-6971-52177,Griffin Lake,02BF,-84.40333333,47.08555556,147.1,4
47068437,16-6806-52194,Upper Pancake Lake,02BF,-84.62,47.10555556,92.2,3
47077926,17-6178-52207,Lake Timiskaming,02JE,-79.44611111,47.13138889,29484.3,8
47078105,17-4930-52197,Little Burwash Lake,02DA,-81.09194444,47.1325,105.2,3
47078208,17-4145-52197,Indian Lake,02CE,-82.12638889,47.12694444,1901.8,5
47098001,17-5740-52232,Red Squirrel Lake,02DC,-80.02388889,47.16027778,387.3,4
47108038,17-5274-52242,Rodd Lake,02DC,-80.63777778,47.17277778,33.6,0
47108123,17-4702-52245,Kalaco Lake,02DA,-81.39277778,47.17805556,89.1,4
47108340,17-2975-52266,Goulais Lake,02BF,-83.67222222,47.16333333,271.7,5
47118121,17-4728-52266,Oshawong Lake,02DA,-81.35916667,47.19444444,112.5,4
47127942,17-5972-52300,Rib Lake,02JE,-79.71611111,47.21472222,682,4
47128014,17-5580-52276,Diamond Lake,02JD,-80.23388889,47.20166667,925.2,4
47128308,17-3370-52303,Beak Lake,02CB,-83.14583333,47.21361111,116.2,3
47138338,17-3006-52333,Gull Lake,02BF,-83.63444444,47.22472222,128.7,5
47147957,17-5827-52344,Anima Nipissing Lake,02DC,-79.90611111,47.25944444,2049.7,4
47158332,17-3090-52347,Megisan Lake,02CB,-83.52333333,47.24,620.3,4
47188151,17-4352-52392,Ninth Lake,02CE,-81.8575,47.30472222,83.3,5
47207957,17-5787-52433,Kittson Lake,02JD,-79.96444444,47.33888889,78.5,3
47208010,17-5608-52396,Lady Evelyn Lake,02JD,-80.19583333,47.30944444,6262.9,6
47258016,17-5552-52523,Anvil Lake,02JD,-80.26805556,47.42416667,226.2,4
47268025,17-5430-52549,Makobe Lake,02JD,-80.42944444,47.44833333,2021.5,4
47288106,17-4919-52573,Chrysler Lake,02JD,-81.1075,47.47111111,73.7,2
47298251,17-3606-52610,Wakami Lake,04LC,-82.85055556,47.48944444,1713,-9999
47328154,17-4323-52646,Three Duck Lake (Middle),04LA,-81.90611111,47.54305556,-9999,-9999
47378215,17-4061-52742,Opeepeesway Lake,04LC,-82.23916667,47.6275,1765.89,-9999
47378443,16-6710-52766,Old Woman Lake,02BE,-84.72444444,47.6225,261.3,3
47398446,16-6678-52804,Gamitagama Lake,02BE,-84.76555556,47.6575,161.06,2
47408153,17-4340-52773,Mesomikenda Lake,04LA,-81.87861111,47.64805556,1706.2,-9999
47428442,16-6718-52845,Mijinemungshing Lake,02BD,-84.71055556,47.69333333,588.6,4
47438203,17-4217-52855,Pebonishewi Lake,04LA,-82.04416667,47.72027778,-9999,-9999
47438208,17-4148-52820,Rice Lake,04LC,-82.13444444,47.68777778,2522.3,-9999
47448150,17-4372-52874,Makami Lake,04LA,-81.83722222,47.73861111,-9999,-9999
47458431,16-6855-52885,Sand Lake,02BE,-84.52611111,47.72527778,328.3,4
47468038,17-5265-52901,Shillington Lake,02JD,-80.64666667,47.76777778,136,4
47468058,17-5026-52889,Duncan Lake,02JD,-80.96472222,47.75583333,1131.1,4
47478211,17-4104-52936,Rush Lake,04LC,-82.19583333,47.79166667,-9999,-9999
47508317,17-3280-52990,Borden Lake,04LE,-83.29722222,47.82333333,1173.47,-9999
47508436,16-6809-53004,Anjigami Lake,02BD,-84.58333333,47.85111111,1095.47,6
