Waterbody_LID,Lake_Name,Cycle,AreaCalcm2,Perim__m2,Strahler,Shreve,MinElev,MaxElev,MeanElev,SDElev,GDD8110,TertiaryWS,QuaternWS
16-6823-52566,Kwagama L.,1,2108299.11,10887.86,3,8,391.1417847,403.855835,395.7966172,2.179769532,1389.241333,02BE,2BE-04
16-6829-52763,Radium L.,1,498331.16,8007.16,0,0,350.3083191,362.7096252,355.7372957,2.449708291,1349.350952,02BE,2BE-04
16-6845-52653,Vesi L.,1,390468.03,3296.88,2,7,325.3237915,331.9939575,327.4051868,1.037558652,1371.14,02BE,2BE-04
16-6855-52885,Sand L.,1,3550190.83,39934.99,4,52,370.1490784,386.7962036,375.1324229,2.162134348,1330.915161,02BE,2BE-04
16-6867-52661,Callahan L.,1,583942.07,6434.65,2,3,340.504303,354.3770752,348.7329943,3.810168153,1376.172241,02BE,2BE-05
16-6971-52177,Griffin L.,1,1603134.46,6716.54,4,28,326.293457,336.5905457,329.524435,1.303866747,1495.864258,02BF,2BF-05
16-6975-52452,Biff L.,1,355969.93,3425.12,2,5,430.5812988,439.0715637,431.9747822,1.120729798,1436.94,02BE,2BE-08
16-6991-54320,Cameron L.,1,22156372.54,32638.56,3,18,317.1281433,322.1071167,319.197562,0.340018017,1295.175909,04JA,4JA-02
16-7004-52204,Dick L.,1,1002533.38,11769.11,4,20,400.3904724,423.0635681,409.7321067,4.176989434,1494.776489,02BF,2BF-05
16-7046-52151,Adelaide L.,1,1721861.53,17441.55,3,15,350.5994873,362.6199341,356.231101,1.610247001,1512.902832,02BF,2BF-06
16-7098-52235,Quintet L.s,1,2413124.62,28840.57,3,15,394.5238342,401.549408,398.1747698,1.148431683,1502.562174,02BF,2BF-06
16-7100-51834,Sill L.,1,420384.67,3589.19,2,4,359.3548584,367.4768066,360.6241514,0.767009435,1588.14,02BF,2BF-03
16-7102-54270,Gull L.,1,1076444.29,5636.96,2,2,328.405426,330.574646,328.9416943,0.337092778,1306.2229,04JA,4JA-02
16-7122-53960,Tatnall L.,1,1504713.26,13590.28,4,30,367.4310913,372.1953125,369.250063,0.668883381,1307.698853,04JA,4JA-02
16-7134-51997,Achigan L.,1,2900946.14,11879.53,4,37,331.083252,339.0654602,335.3141222,1.614226771,1556.416626,02BF,2BF-03
16-7139-53538,Dog L.,1,53110411.72,241096.48,6,589,330.6506042,331.5706787,331.0519043,0.309162784,1314.673601,02BD,2BD-06
16-7153-52806,McEwen L.,1,961530.82,11017.72,2,3,450.4567261,461.9143677,453.7063055,1.457402233,1391.52,02BE,2BE-11
16-7186-51904,Weckstrom L.,1,292170.99,4473.63,3,4,323.8854065,334.6310425,328.5216942,1.532874679,1584.237549,02BF,2BF-03
16-7267-52208,Gavor L.,1,1287731.66,12007.07,3,8,416.9977417,422.130188,420.020203,0.903202772,1528.01,02BF,2BF-06
17-2752-51845,Devils L.,1,1960082.14,6673.81,2,6,306.7404785,320.1098938,309.8136145,1.286730043,1606.505981,02BF,2BF-03
17-2792-52332,Galloway L.,1,256801.8,4223.83,3,12,442.7530518,449.6781006,447.7494555,1.427390112,1509.06,02BF,2BF-05
17-2800-52265,Quinn L.,1,1371845.63,23657.59,3,16,435.0097351,442.5095825,436.4836104,0.890688747,1521.507568,02BF,2BF-05
17-2809-52215,Hanes L.,1,1379791.16,12746.47,3,8,432.0125427,441.292511,435.6323941,1.163850789,1534.415649,02BF,2BF-03
17-2822-52479,Caesar L.,1,488030.82,6816.7,1,1,434.5271606,440.5795593,437.0449465,0.85102148,1480.31,02BF,2BF-05
17-2837-53860,Woodosgoon L.,1,1199723.27,8955.67,3,9,400.2038574,404.2566834,401.3367165,0.565916527,1324.687744,04LH,4LH-06
17-2851-51570,McMahon L.,1,2237820.61,16274.19,2,3,290.4845276,307.5280762,294.1620484,1.728043362,1657.830933,02CA,2CA-11
17-2857-52221,Point L.,1,784269.16,7787.62,4,45,438.875061,449.674408,440.515357,0.832032883,1540.030396,02BF,2BF-03
17-2862-52249,Graham L.,1,1114412.93,7892.83,4,40,461.6420898,475.4654236,464.5733169,1.410659234,1534.94,02BF,2BF-03
17-2866-53707,South Greenhill L.,1,1096220.51,9261.05,3,6,374.8866577,380.9378357,376.5004149,0.903343782,1332.524902,04LH,4LH-04
17-2870-51459,Rock L.,1,10475829.54,22908.65,5,475,193.7789001,213.8227234,196.8353574,1.228298536,1672.947144,02CA,2CA-11
17-2880-52035,Saddle L.,1,1128931.54,8734.39,3,6,488.9704285,494.4075623,490.4669677,0.557937992,1579.250854,02BF,2BF-03
17-2880-52069,Ward L.,1,500748.14,4580.78,2,3,483.2259521,492.3858337,486.4411764,1.240757651,1572.72,02BF,2BF-03
17-2884-53030,Little Wawa L.,1,5250937.26,26885.21,3,12,443.4869385,450.3423157,446.9707958,1.087218911,1392.212964,02BD,2BD-09
17-2933-51822,Garden L.,1,1395832.93,7396.75,3,23,342.5,348.2797546,344.1561682,1.087844716,1623.290161,02CA,2CA-02
17-2953-54198,Lower Minnipuka L.,1,2532788.58,24796.52,4,70,329.7060242,337.6099548,332.0394332,0.975835891,1332.929118,04LJ,4LJ-04
17-2975-52266,Goulais L.,1,2421976.13,23990.47,5,192,470,483.5076904,471.6892259,1.216710417,1541.895996,02BF,2BF-03
17-2976-52164,South Branch L.,1,2012395.32,16836.58,4,25,480.1261902,486.1603699,482.0045958,0.891024162,1562.475403,02BF,2BF-03
17-3006-52333,Gull L.,1,1376879.98,14659.85,5,67,470.7042236,477.5020752,472.6976701,0.853453626,1529.537842,02BF,2BF-03
17-3006-53592,Missinaibi L.,1,81235787.23,260694.71,6,689,315.9047852,326.8786621,319.5585328,0.930653158,1356.078113,04LH,4LH-01
17-3014-51622,Shelden L.,1,1447474.49,8667.73,3,21,341.0022278,355.1676636,346.197109,1.701980794,1658.539429,02CA,2CA-11
17-3053-51969,Ranger L.,1,23133528.53,72530.92,5,106,433.0184937,446.6781006,435.8393855,0.926576891,1603.270483,02CA,2CA-02
17-3074-52158,Gong L.,1,3780896.35,33471.21,4,58,448.3184814,459.4742737,451.106991,1.093987894,1571.018726,02CB,2CB-02
17-3086-52062,Saymo L.,1,8452049.22,43110.87,4,53,435.4219666,447.697876,438.759455,1.085372414,1591.732457,02CA,2CA-02
17-3090-52347,Megisan L.,1,6142251.81,26076.44,4,114,451.7214966,460.5362854,454.471279,1.07099486,1533.09433,02CB,2CB-02
17-3091-51898,Penelope L.,1,1760438.99,9122.33,1,1,400.0540161,406.4515076,401.4775326,0.901240278,1620.596008,02CA,2CA-02
17-3094-52159,Anvil L.,1,910974.02,6199.36,2,3,460.0006409,464.4366455,460.9346983,0.689785071,1573.357666,02CB,2CB-02
17-3097-52494,Ninegee L.,1,467171.83,4346.33,1,1,484.9937439,494.9331665,487.667187,1.654038266,1509.04,02CB,2CB-02
17-3120-53099,Como L.,1,16090920.08,37198.43,4,26,454.9306335,459.7528992,456.9395599,0.64379466,1414.087257,02BD,2BD-09
17-3164-51328,Basswood L.,1,26892889.67,48478.48,4,20,198.4806061,223.7270355,204.9002127,2.532045156,1702.411861,02CC,2CC-04
17-3172-51540,Chub L.,1,1767649.66,12199.13,2,2,332.6777954,341.0299072,336.1837341,1.289739617,1679.542297,02CC,2CC-08
17-3191-51595,Wakomata L.,1,24792587.27,45506.64,5,90,309.703186,330.6056519,312.3892227,1.779444689,1673.391687,02CC,2CC-08
17-3202-52877,McLennan L.,1,758192.25,8486.21,2,4,450.6181946,457.3302002,453.1623865,0.952404583,1453.485474,04LE,4LE-02
17-3228-51260,Bright L.,1,12179305.2,26772.21,4,51,179.1828308,188.5395813,180.8379485,0.959302875,1711.39859,02CC,2CC-03
17-3280-52990,Borden L.,1,16460033.32,101898.54,4,56,421.9487,435.7124634,426.8365661,1.929079993,1445.947586,04LE,4LE-05
17-3290-51439,Constance L.,1,1190059.8,5154.82,1,1,245.5130768,254.587265,247.4058368,1.186575358,1698.761963,02CC,2CC-05
17-3323-51600,Castra L.,1,473671.37,5527.07,3,6,360.0883789,371.7585754,363.9391208,1.748118099,1681.256958,02CC,2CC-08
17-3334-53694,Bittern L.,1,994416.93,9119.57,2,3,334.8129578,339.9979553,336.5196803,0.879977504,1385.974976,04LH,4LH-05
17-3354-52393,Flame L.,1,1683649.6,14487.88,4,34,440.6860962,444.8208313,442.3412606,0.507540383,1550.778564,02CB,2CB-03
17-3360-51357,Little Chiblow L.,1,6434873.64,22501.26,3,10,227.1397095,242.5302582,230.2053303,1.260173088,1711.97731,02CD,2CD-08
17-3370-52303,Beak L.,1,1213627.35,17482.28,3,14,437.875061,452.6424866,442.2412237,3.138335008,1565.709106,02CB,2CB-03
17-3400-51692,Kirkpatrick L.,1,11146686.43,60749.82,5,137,378.1560974,406.5161743,380.879842,1.535495537,1673.174361,02CC,2CC-09
17-3423-51340,Chiblow L.,1,20003592.71,47346.82,5,223,226.8500977,239.1750793,229.7049285,1.120575141,1717.556147,02CD,2CD-08
17-3426-53189,Nemegosenda L.,1,18213177,26956.86,5,344,330.6605835,339.3368835,332.9715042,0.777880822,1438.068115,04LE,4LE-04
17-3432-51760,Duval L.,1,1661114.94,11788.01,4,33,418.3785706,423.5761108,420.2545641,0.645852208,1665.699626,02CC,2CC-09
17-3445-51613,Endikai L.,1,6205528.55,18399.43,6,352,250.3679047,274.1351624,254.0397919,1.73241868,1686.500793,02CC,2CC-05
17-3453-51907,Doehead L.,1,327782.27,4923.18,2,6,430.1957703,438.6430969,431.9983418,1.338863663,1643.758179,02CC,2CC-07
17-3457-51246,Cataract L.,1,1116919.43,7018.33,5,238,180.2393341,190.9711761,184.0847891,1.28242165,1729.977661,02CD,2CD-08
17-3525-51387,Matinenda L.,1,41368909.32,149329.84,5,199,229.0263977,310.3470764,233.1779592,1.894084569,1719.415569,02CD,2CD-08
17-3557-51418,Big Moon L.,1,5176030.57,17637.64,4,32,231.60672,255.5058594,234.7674347,1.703993989,1718.748718,02CD,2CD-08
17-3563-53717,Kapuskasing L.,1,18237396.06,45101.62,6,766,309.3928833,317.8839111,311.8640372,0.770907699,1407.609641,04LE,4LE-07
17-3582-51582,Astonish L.,1,788919.48,9318.18,2,2,417.9736023,424.5910339,420.3935914,1.009532736,1701.6,02CD,2CD-08
17-3592-51192,Lauzon L.,1,22023984.71,97037.06,4,41,179.9926758,204.6561279,182.3517697,1.983422736,1743.446544,02CD,2CD-05
17-3606-52610,Wakami L.,1,17732984.23,82337.71,4,42,440.0789795,451.4118347,443.1167163,1.279134798,1536.054581,04LC,4LC-04
17-3627-51660,Cobre L.,1,907274.98,4086.92,1,1,376.7166748,388.8985596,379.7281571,1.669887092,1692.78,02CC,2CC-05
17-3629-51531,Ten Mile L.,1,10331352.88,49452.87,4,28,369.122406,388.5168762,375.8882954,2.474397756,1710.770959,02CD,2CD-02
17-3631-51330,Rossmere L.,1,1203507.93,7397.14,3,13,248.6156006,257.452179,250.7691596,0.96002907,1731.348145,02CD,2CD-06
17-3678-51289,McGiverin L.,1,2752236.85,20025.91,4,34,231.1892853,244.1234741,234.4673859,1.600228423,1736.033142,02CD,2CD-06
17-3714-52934,Cree L.,1,5070882.72,27182.05,3,20,389.057251,394.2755432,390.9117188,0.71982191,1495.960815,04LC,4LC-04
17-3716-51254,Turtle L.,1,1502832.86,13525.4,3,16,240.1829987,250.8174896,241.5255863,1.330063998,1741.190552,02CD,2CD-04
17-3730-53082,Little Ridley L.,1,598470.67,8470.49,2,3,390.3968506,393.7868347,391.6219565,0.521638008,1478.333496,04LC,4LC-06
17-3736-53361,Carty L.,1,5693656.4,27984.5,4,52,351.3566284,356.0198364,353.0343102,0.505979206,1448.326636,04LC,4LC-08
17-3764-51679,Rawhide L.,1,9536369.48,31048.26,3,14,387.4096375,412.0201111,391.1028127,2.33757942,1694.544238,02CC,2CC-05
17-3767-53044,Rollo L.,1,8081994.77,26386.34,4,96,374.5218506,380.1158142,376.2825105,0.682478241,1484.535604,04LC,4LC-07
17-3788-53266,Ivanhoe L.,1,18811194.54,120952.92,6,632,335.388855,350.7251587,339.3602479,1.453037949,1459.857776,04LC,4LC-06
17-3790-55066,Zadi L.,1,6548260.32,15140.84,5,527,210.958725,220.2141418,217.9349445,1.862397182,1374.832153,04LL,4LL-01
17-3804-53044,Hanson L.,1,1596222.94,15934.95,4,105,371.8309631,382.5193176,374.3165967,1.191970023,1487.648682,04LC,4LC-07
17-3810-51468,Quirke L.,1,20683411.28,56977.99,5,226,337.824646,377.2947083,340.8495719,1.408260203,1721.178127,02CD,2CD-02
17-3812-51598,Alexander L.,1,369748.71,4829.93,2,2,432.342804,438.4246826,433.4603355,0.713555758,1706.88,02CC,2CC-06
17-3813-51443,Popeye L.,1,612220.93,6597.75,3,5,340.7574463,350.8754272,342.7633073,1.041269234,1724.069763,02CD,2CD-02
17-3844-53694,Sweetwater L.,1,668325.66,3775.9,0,0,333.0678711,335.5561523,334.0549157,0.392331531,1430.183594,04LC,4LC-06
17-3856-51190,Grassy L.,1,676053.17,5884.71,6,"1,111",186.4210663,196.2764282,188.2357274,1.388069483,1747.5,02CD,2CD-02
17-3860-51538,Geiger L.,1,885216.8,8698.01,4,73,374.0810242,389.7516785,376.086384,1.665722325,1714.395142,02CD,2CD-02
17-3874-51976,Bark L.,1,18918142.04,128906.28,5,315,441,451.9298706,443.9565672,1.54567713,1656.6063,02CB,2CB-01
17-3903-51589,Deschamp L.,1,960676.07,9723.55,3,23,417.9516296,430.3965454,420.2171795,1.300801821,1706.68811,02CE,2CE-09
17-3914-51928,Boumage L.,1,1114438.61,10033.51,2,4,460.5521545,466.9179382,461.7166598,0.905470928,1661.16,02CE,2CE-03
17-3943-51700,Spinweb L.,1,973142.94,8778.24,3,5,425.9005432,431.7787476,428.4747025,0.998505125,1692.614502,02CE,2CE-03
17-3974-51436,Whiskey L.,1,9899278.55,38390.06,5,340,301.5729065,317.579071,304.9127098,1.557245523,1720.688281,02CD,2CD-02
17-4010-53144,Horwood L.,1,52831006.03,195818.38,6,"1,446",328.8149109,345.8576965,336.4319108,1.674110048,1485.899946,04LC,4LC-02
17-4019-55121,Guilfoyle L.,1,7698664.8,16423.43,4,13,211.981781,216.1760406,213.7044563,0.51898902,1371.248832,04LL,4LL-01
17-4061-52742,Opeepeesway L.,1,20672938.38,95579.22,5,127,376.9832153,389.1783752,380.1665055,0.741271991,1546.238262,04LC,4LC-03
17-4145-52197,Indian L.,1,18186834.04,163949.56,5,139,404.246582,416.6308594,407.6474586,1.240959253,1628.777622,02CE,2CE-02
17-4148-52820,Rice L.,1,24795943.75,137608.97,4,32,378.0421753,389.925354,382.8498992,1.169361052,1539.869841,04LC,4LC-03
